PedidoID,CategoriaID,CategoriaNome,CategoriaDescrição,ClienteID,ClienteNome,ClienteContato,ClienteCidade,ClientePaísID,ClientePaís,Vendas Custo,Margem Bruta,Vendas,Desconto,Frete,Qtde,Data,VendedorID,ProdutoID,ProdutoNome,TransportadoraID,FornecedorID
10413,1,Men´s Clothes,Fashion for Men,41,Elle Fashion & Design,Louise Davu,Toulouse,FRA,France,4.175.107,867.293,504.24,0,64.69,24,20/10/2010,5,1,Lenin Jeansshorts,1,1
10500,2,Womens wear,Fashion for Women,41,Elle Fashion & Design,Louise Davu,Toulouse,FRA,France,638.885,171.295,81.018,3.858,53.28,12,14/04/2011,5,15,Sumi Underwear,1,6
10832,2,Womens wear,Fashion for Women,41,Elle Fashion & Design,Louise Davu,Toulouse,FRA,France,9.615.917,3.466.963,1.308.288,218.048,30.97,16,19/11/2011,5,44,Okkaba Skin Jackets,1,20
10923,2,Womens wear,Fashion for Women,41,Elle Fashion & Design,Louise Davu,Toulouse,FRA,France,1.354.117,488.219,1.842.336,307.056,76.9,24,05/06/2012,4,67,X-Dress,1,16
10413,2,Womens wear,Fashion for Women,41,Elle Fashion & Design,Louise Davu,Toulouse,FRA,France,48.102.163,9.992.237,5809.44,0,64.69,14,20/10/2010,5,76,Minnki Pälsii,1,23
10425,2,Womens wear,Fashion for Women,41,Elle Fashion & Design,Louise Davu,Toulouse,FRA,France,59.852.808,30.504.692,9035.75,1807.15,23.12,20,30/09/2010,4,76,Minnki Pälsii,1,23
10832,3,Sportwear,Sports…,41,Elle Fashion & Design,Louise Davu,Toulouse,FRA,France,121.716,43.884,165.6,27.6,30.97,10,19/11/2011,5,25,Basket Vest,1,11
10425,3,Sportwear,Sports…,41,Elle Fashion & Design,Louise Davu,Toulouse,FRA,France,2.984.112,1.520.888,450.5,90.1,23.12,10,30/09/2010,4,55,Feiss Fleece Trousers,1,25
10413,3,Sportwear,Sports…,41,Elle Fashion & Design,Louise Davu,Toulouse,FRA,France,10.058.544,2.089.456,1214.8,0,64.69,40,20/10/2010,5,62,Sheat Shoes,1,29
10923,4,Bath Clothes,Beachwear,41,Elle Fashion & Design,Louise Davu,Toulouse,FRA,France,1.132.488,408.312,154.08,25.68,76.9,10,05/06/2012,4,43,Summer Shorts,1,20
10832,5,Ladies´Footwear,Ladies Shoes,41,Elle Fashion & Design,Louise Davu,Toulouse,FRA,France,874.768,11.7032,99.18,0,30.97,3,19/11/2011,5,64,WFS shoes,1,12
10923,5,Ladies´Footwear,Ladies Shoes,41,Elle Fashion & Design,Louise Davu,Toulouse,FRA,France,116.424,41.976,158.4,26.4,76.9,10,05/06/2012,4,42,Balett Shoes,1,20
10500,7,Children´s wear,3-15 Years,41,Elle Fashion & Design,Louise Davu,Toulouse,FRA,France,3.107.981,833.299,394.128,18.768,53.28,8,14/04/2011,5,28,RDL Suit,1,12
10371,8,Babywear,0-3 Years,41,Elle Fashion & Design,Louise Davu,Toulouse,FRA,France,402.797,156.643,55.944,9.324,66.09,6,09/10/2009,4,36,Mehmet-Tröja,1,17
10832,8,Babywear,0-3 Years,41,Elle Fashion & Design,Louise Davu,Toulouse,FRA,France,677.376,244.224,92.16,15.36,30.97,3,19/11/2011,5,13,Aino Shoes,1,6
10610,8,Babywear,0-3 Years,41,Elle Fashion & Design,Louise Davu,Toulouse,FRA,France,1.289.358,700.392,198.975,39.795,67.44,21,30/05/2011,4,36,Mehmet-Tröja,1,17
10806,1,Men´s Clothes,Fashion for Men,84,Art et Fashion,Pierre Robert,Lyon,FRA,France,308.772,167.728,476.5,95.3,38.16,20,05/11/2012,4,2,Mr X Trousers,1,1
10850,1,Men´s Clothes,Fashion for Men,84,Art et Fashion,Pierre Robert,Lyon,FRA,France,7.115.094,2.161.956,927.705,121.005,58.8,30,28/11/2011,4,70,US-Master Jeans,1,7
10806,2,Womens wear,Fashion for Women,84,Art et Fashion,Pierre Robert,Lyon,FRA,France,153.414,3.5986,18.94,0,38.16,2,05/11/2012,4,65,Stretch oui-pants,1,2
10850,3,Sportwear,Sports…,84,Art et Fashion,Pierre Robert,Lyon,FRA,France,929.275,282.365,121.164,15.804,58.8,4,28/11/2011,4,33,Car Boots,1,15
10334,3,Sportwear,Sports…,84,Art et Fashion,Pierre Robert,Lyon,FRA,France,1.167.875,10.6125,127.4,0,41.01,10,26/05/2011,5,68,Cap,1,8
